base_currency,target_currency,exchange_rate
AUD,CAD,0.884
AUD,CDF,1606.7742
AUD,CHF,0.5788
AUD,CLP,572.066
AUD,CNY,4.6798
AUD,COP,2606.0867
AUD,CRC,341.3668
AUD,CUP,15.4274
AUD,CVE,66.3121
AUD,CZK,14.802
AUD,DJF,114.2403
AUD,DKK,4.4855
AUD,DOP,36.4159
AUD,DZD,86.9337
AUD,EGP,19.8298
AUD,ERN,9.6421
AUD,ETB,36.0746
AUD,EUR,0.6013
AUD,FJD,1.4577
AUD,FKP,0.5227
AUD,FOK,4.4866
AUD,GBP,0.5227
AUD,GEL,1.7351
AUD,GGP,0.5227
AUD,GHS,7.7067
AUD,GIP,0.5227
AUD,GMD,42.0113
AUD,GNF,5519.6961
AUD,GTQ,5.0156
AUD,GYD,134.9864
AUD,HKD,5.025
AUD,HNL,15.8176
AUD,HRK,4.5312
AUD,HTG,85.8423
AUD,HUF,227.5816
AUD,IDR,10055.7321
AUD,ILS,2.4906
AUD,IMP,0.5227
AUD,INR,53.4961
AUD,IQD,844.2373
AUD,IRR,27371.3858
AUD,ISK,90.4542
AUD,JEP,0.5227
AUD,JMD,99.3572
AUD,JOD,0.4558
AUD,JPY,96.6443
AUD,KES,98.1261
AUD,KGS,57.432
AUD,KHR,2656.5333
AUD,KID,1.0
AUD,KMF,295.8639
AUD,KRW,840.1849
AUD,KWD,0.1981
AUD,KYD,0.5357
AUD,KZT,298.9457
AUD,LAK,13213.581
AUD,LBP,9642.1069
AUD,LKR,209.9887
AUD,LRD,122.2539
AUD,LSL,11.8001
AUD,LYD,3.1357
AUD,MAD,6.5629
AUD,MDL,11.5332
AUD,MGA,2930.0
AUD,MKD,37.218
AUD,MMK,1552.234
AUD,MNT,2214.6114
AUD,MOP,5.1762
AUD,MRU,25.3067
AUD,MUR,28.3403
AUD,MVR,9.8861
AUD,MWK,740.6995
AUD,MXN,11.2429
AUD,MYR,3.0026
AUD,MZN,41.0749
AUD,NAD,11.8001
AUD,NGN,501.3754
AUD,NIO,23.4358
AUD,NOK,7.1833
AUD,NPR,85.5974
AUD,NZD,1.0839
AUD,OMR,0.2472
AUD,PAB,0.6428
AUD,PEN,2.4286
AUD,PGK,2.3756
AUD,PHP,36.0427
AUD,PKR,183.1296
AUD,PLN,2.6806
AUD,PYG,4730.4934
AUD,QAR,2.3398
AUD,RON,2.9863
AUD,RSD,70.4503
AUD,RUB,59.2992
AUD,RWF,813.1618
AUD,SAR,2.4105
AUD,SBD,5.4313
AUD,SCR,8.709
AUD,SDG,288.3357
AUD,SEK,7.0245
AUD,SGD,0.8702
AUD,SHP,0.5227
AUD,SLE,14.3666
AUD,SLL,14365.3409
AUD,SOS,368.963
AUD,SRD,24.8181
AUD,SSP,673.4132
AUD,STN,14.734
AUD,SYP,8276.2717
AUD,SZL,11.8001
AUD,THB,22.8511
AUD,TJS,7.0196
AUD,TMT,2.248
AUD,TND,2.0256
AUD,TOP,1.4532
AUD,TRY,18.3132
AUD,TTD,4.3107
AUD,TVD,1.0
AUD,TWD,20.679
AUD,TZS,1615.6227
AUD,UAH,23.1509
AUD,UGX,2421.2481
AUD,USD,0.6428
AUD,UYU,25.5316
AUD,UZS,7889.8465
AUD,VES,22.5986
AUD,VND,15629.7602
AUD,VUV,78.0392
AUD,WST,1.7594
AUD,XAF,394.4852
AUD,XCD,1.7356
AUD,XDR,0.4876
AUD,XOF,394.4852
AUD,XPF,71.7649
AUD,YER,160.224
AUD,ZAR,11.7989
AUD,ZMW,14.473
AUD,ZWL,3677.2572
KRW,KRW,1.0
KRW,AED,0.002811
KRW,AFN,0.05632
KRW,ALL,0.07518
KRW,AMD,0.3072
KRW,ANG,0.00137
KRW,AOA,0.6403
KRW,ARS,0.2679
KRW,AUD,0.00119
KRW,AWG,0.00137
KRW,AZN,0.001296
KRW,BAM,0.0014
KRW,BBD,0.001531
KRW,BDT,0.08438
KRW,BGN,0.0014
KRW,BHD,0.00028779
KRW,BIF,2.1651
KRW,BMD,0.00076541
KRW,BND,0.001036
KRW,BOB,0.005261
KRW,BRL,0.003726
KRW,BSD,0.00076541
KRW,BTN,0.06374
KRW,BWP,0.01035
KRW,BYN,0.002503
KRW,BZD,0.001531
KRW,CAD,0.001051
KRW,CDF,1.9032
KRW,CHF,0.00068862
KRW,CLP,0.6795
KRW,CNY,0.005568
KRW,COP,3.0938
KRW,CRC,0.4052
KRW,CUP,0.01837
KRW,CVE,0.07892
KRW,CZK,0.01761
KRW,DJF,0.136
KRW,DKK,0.005339
KRW,DOP,0.04323
KRW,DZD,0.1032
